group_idx,group_words,sender,evaluator,uplift,delta
0,"product, release, advance, union",haiku-4.5,haiku-4.5,0.04999999999999999,0.0
0,"product, release, advance, union",haiku-4.5,gpt-5.4-mini,-0.11249999999999999,0.16249999999999998
0,"product, release, advance, union",haiku-4.5,gpt-5.4-nano,-0.049999999999999975,0.09999999999999996
0,"product, release, advance, union",haiku-4.5,gemini-3-flash,0.0125,0.03749999999999999
0,"product, release, advance, union",haiku-4.5,gemini-3.1-flash-lite,-0.024999999999999994,0.07499999999999998
0,"product, release, advance, union",gpt-5.4-mini,haiku-4.5,-0.012499999999999997,-0.05
0,"product, release, advance, union",gpt-5.4-mini,gpt-5.4-mini,-0.0625,0.0
0,"product, release, advance, union",gpt-5.4-mini,gpt-5.4-nano,0.04999999999999999,-0.11249999999999999
0,"product, release, advance, union",gpt-5.4-mini,gemini-3-flash,0.0,-0.0625
0,"product, release, advance, union",gpt-5.4-mini,gemini-3.1-flash-lite,-0.09999999999999999,0.03749999999999999
0,"product, release, advance, union",gpt-5.4-nano,haiku-4.5,-0.062499999999999986,0.075
0,"product, release, advance, union",gpt-5.4-nano,gpt-5.4-mini,0.0375,-0.02499999999999999
0,"product, release, advance, union",gpt-5.4-nano,gpt-5.4-nano,0.012500000000000008,0.0
0,"product, release, advance, union",gpt-5.4-nano,gemini-3-flash,-0.012500000000000011,0.02500000000000002
0,"product, release, advance, union",gpt-5.4-nano,gemini-3.1-flash-lite,-0.062499999999999986,0.075
0,"product, release, advance, union",gemini-3-flash,haiku-4.5,-0.125,0.125
0,"product, release, advance, union",gemini-3-flash,gpt-5.4-mini,-0.0375,0.0375
0,"product, release, advance, union",gemini-3-flash,gpt-5.4-nano,0.02500000000000001,-0.02500000000000001
0,"product, release, advance, union",gemini-3-flash,gemini-3-flash,0.0,0.0
0,"product, release, advance, union",gemini-3-flash,gemini-3.1-flash-lite,0.13749999999999998,-0.13749999999999998
0,"product, release, advance, union",gemini-3.1-flash-lite,haiku-4.5,-0.012500000000000004,-0.03749999999999998
0,"product, release, advance, union",gemini-3.1-flash-lite,gpt-5.4-mini,0.06250000000000001,-0.11249999999999999
0,"product, release, advance, union",gemini-3.1-flash-lite,gpt-5.4-nano,-0.08750000000000001,0.037500000000000026
0,"product, release, advance, union",gemini-3.1-flash-lite,gemini-3-flash,0.0,-0.04999999999999998
0,"product, release, advance, union",gemini-3.1-flash-lite,gemini-3.1-flash-lite,-0.04999999999999998,0.0
1,"army, music, northern, council",haiku-4.5,haiku-4.5,0.0875,0.0
1,"army, music, northern, council",haiku-4.5,gpt-5.4-mini,-0.075,0.16249999999999998
1,"army, music, northern, council",haiku-4.5,gpt-5.4-nano,-0.09999999999999999,0.1875
1,"army, music, northern, council",haiku-4.5,gemini-3-flash,-1.0408340855860843e-17,0.08750000000000001
1,"army, music, northern, council",haiku-4.5,gemini-3.1-flash-lite,0.0,0.0875
1,"army, music, northern, council",gpt-5.4-mini,haiku-4.5,-0.01249999999999999,0.0
1,"army, music, northern, council",gpt-5.4-mini,gpt-5.4-mini,-0.01249999999999999,0.0
1,"army, music, northern, council",gpt-5.4-mini,gpt-5.4-nano,-0.07500000000000001,0.06250000000000003
1,"army, music, northern, council",gpt-5.4-mini,gemini-3-flash,0.012500000000000011,-0.025
1,"army, music, northern, council",gpt-5.4-mini,gemini-3.1-flash-lite,0.0125,-0.02499999999999999
1,"army, music, northern, council",gpt-5.4-nano,haiku-4.5,-0.024999999999999998,0.03749999999999999
1,"army, music, northern, council",gpt-5.4-nano,gpt-5.4-mini,-0.11250000000000002,0.125
1,"army, music, northern, council",gpt-5.4-nano,gpt-5.4-nano,0.01249999999999999,0.0
1,"army, music, northern, council",gpt-5.4-nano,gemini-3-flash,0.0,0.01249999999999999
1,"army, music, northern, council",gpt-5.4-nano,gemini-3.1-flash-lite,-0.075,0.0875
1,"army, music, northern, council",gemini-3-flash,haiku-4.5,0.012499999999999997,-0.012499999999999997
1,"army, music, northern, council",gemini-3-flash,gpt-5.4-mini,-0.02499999999999998,0.02499999999999998
1,"army, music, northern, council",gemini-3-flash,gpt-5.4-nano,-0.15,0.15
1,"army, music, northern, council",gemini-3-flash,gemini-3-flash,0.0,0.0
1,"army, music, northern, council",gemini-3-flash,gemini-3.1-flash-lite,1.0408340855860843e-17,-1.0408340855860843e-17
1,"army, music, northern, council",gemini-3.1-flash-lite,haiku-4.5,-0.06250000000000003,0.06250000000000003
1,"army, music, northern, council",gemini-3.1-flash-lite,gpt-5.4-mini,-0.024999999999999994,0.024999999999999988
1,"army, music, northern, council",gemini-3.1-flash-lite,gpt-5.4-nano,0.024999999999999988,-0.024999999999999994
1,"army, music, northern, council",gemini-3.1-flash-lite,gemini-3-flash,0.0,-6.938893903907228e-18
1,"army, music, northern, council",gemini-3.1-flash-lite,gemini-3.1-flash-lite,-6.938893903907228e-18,0.0
2,"attempt, version, village, aircraft",haiku-4.5,haiku-4.5,-0.01249999999999999,0.0
2,"attempt, version, village, aircraft",haiku-4.5,gpt-5.4-mini,0.0625,-0.07499999999999998
2,"attempt, version, village, aircraft",haiku-4.5,gpt-5.4-nano,-0.0375,0.02500000000000001
2,"attempt, version, village, aircraft",haiku-4.5,gemini-3-flash,-0.024999999999999994,0.012500000000000004
2,"attempt, version, village, aircraft",haiku-4.5,gemini-3.1-flash-lite,0.075,-0.0875
2,"attempt, version, village, aircraft",gpt-5.4-mini,haiku-4.5,0.0125,-1.734723475976807e-17
2,"attempt, version, village, aircraft",gpt-5.4-mini,gpt-5.4-mini,0.012499999999999983,0.0
2,"attempt, version, village, aircraft",gpt-5.4-mini,gpt-5.4-nano,6.938893903907228e-18,0.012499999999999976
2,"attempt, version, village, aircraft",gpt-5.4-mini,gemini-3-flash,-0.08750000000000001,0.09999999999999999
2,"attempt, version, village, aircraft",gpt-5.4-mini,gemini-3.1-flash-lite,-0.06250000000000001,0.075
2,"attempt, version, village, aircraft",gpt-5.4-nano,haiku-4.5,-0.07499999999999998,0.16249999999999998
2,"attempt, version, village, aircraft",gpt-5.4-nano,gpt-5.4-mini,-0.012499999999999994,0.09999999999999998
